id,value
Antioquia,566136
Antioquia. Café sin tostar- descafeinado,464
Antioquia. Café sin tostar- descafeinado.Antillas Holandesas,0
Antioquia. Café sin tostar- descafeinado.Australia,35
Antioquia. Café sin tostar- descafeinado.Bolivia,3
Antioquia. Café sin tostar- descafeinado.Canadá,222
Antioquia. Café sin tostar- descafeinado.Chile,11
Antioquia. Café sin tostar- descafeinado.Estados Unidos,85
Antioquia. Café sin tostar- descafeinado.Guatemala,0
Antioquia. Café sin tostar- descafeinado.México,1
Antioquia. Café sin tostar- descafeinado.Panamá,0
Antioquia. Café sin tostar- descafeinado.Perú,8
Antioquia. Café sin tostar- descafeinado.Siria- República Árabe,98
Antioquia. Café sin tostar- sin descafeinar- para la siembra,441
Antioquia. Café sin tostar- sin descafeinar- para la siembra.Australia,19
Antioquia. Café sin tostar- sin descafeinar- para la siembra.Canadá,19
Antioquia. Café sin tostar- sin descafeinar- para la siembra.Corea,35
Antioquia. Café sin tostar- sin descafeinar- para la siembra.Estados Unidos,38
Antioquia. Café sin tostar- sin descafeinar- para la siembra.Hong Kong,19
Antioquia. Café sin tostar- sin descafeinar- para la siembra.Japón,310
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm,3122
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Alemania,7
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Antillas Holandesas,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Australia,9
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Barbados,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Bélgica,147
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Bolivia,8
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Chile,15
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.China,8
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Corea,1
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Cuba,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Dinamarca,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Ecuador,64
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.El Salvador,2
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.España,60
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Estados Unidos,2185
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Estonia,31
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Francia,183
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Granada,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Hong Kong,4
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Italia,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Japón,8
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Malasia,10
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Malta,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.México,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Nueva Zelandia,10
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Panamá,1
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Paraguay,1
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Perú,35
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Reino Unido,311
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Santa Lucia,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Singapur,10
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Suiza,0
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Surinam,1
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Trinidad y Tobago,4
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Ucrania,7
Antioquia. Café soluble liofilizado- con granulometría de 20 - 300 mm.Uruguay,0
Antioquia. Café tostado- descafeinado,5
Antioquia. Café tostado- descafeinado.Chile,0
Antioquia. Café tostado- descafeinado.Cuba,0
Antioquia. Café tostado- descafeinado.Ecuador,4
Antioquia. Café tostado- descafeinado.España,0
Antioquia. Café tostado- descafeinado.Estados Unidos,0
Antioquia. Café tostado- descafeinado.Francia,0
Antioquia. Café tostado- descafeinado.Suecia,0
Antioquia. Café tostado- sin descafeinar- en grano,17999
Antioquia. Café tostado- sin descafeinar- en grano.Alemania,0
Antioquia. Café tostado- sin descafeinar- en grano.Argentina,98
Antioquia. Café tostado- sin descafeinar- en grano.Aruba,1
Antioquia. Café tostado- sin descafeinar- en grano.Australia,3
Antioquia. Café tostado- sin descafeinar- en grano.Austria,7
Antioquia. Café tostado- sin descafeinar- en grano.Bahrein,0
Antioquia. Café tostado- sin descafeinar- en grano.Brasil,6
Antioquia. Café tostado- sin descafeinar- en grano.Canadá,1
Antioquia. Café tostado- sin descafeinar- en grano.Chile,10
Antioquia. Café tostado- sin descafeinar- en grano.China,86
Antioquia. Café tostado- sin descafeinar- en grano.Colombia,0
Antioquia. Café tostado- sin descafeinar- en grano.Cuba,0
Antioquia. Café tostado- sin descafeinar- en grano.Dinamarca,1
Antioquia. Café tostado- sin descafeinar- en grano.Dominica,0
Antioquia. Café tostado- sin descafeinar- en grano.Emiratos Árabes Unidos,0
Antioquia. Café tostado- sin descafeinar- en grano.España,6
Antioquia. Café tostado- sin descafeinar- en grano.Estados Unidos,17748
Antioquia. Café tostado- sin descafeinar- en grano.Francia,0
Antioquia. Café tostado- sin descafeinar- en grano.Granada,0
Antioquia. Café tostado- sin descafeinar- en grano.Hong Kong,0
Antioquia. Café tostado- sin descafeinar- en grano.Irak,1
Antioquia. Café tostado- sin descafeinar- en grano.Italia,19
Antioquia. Café tostado- sin descafeinar- en grano.Malasia,0
Antioquia. Café tostado- sin descafeinar- en grano.Noruega,1
Antioquia. Café tostado- sin descafeinar- en grano.Países Bajos,3
Antioquia. Café tostado- sin descafeinar- en grano.Portugal,0
Antioquia. Café tostado- sin descafeinar- en grano.Reino Unido,2
Antioquia. Café tostado- sin descafeinar- en grano.Rusia- Federación de,0
Antioquia. Café tostado- sin descafeinar- en grano.San Cristóbal y Nieves,0
Antioquia. Café tostado- sin descafeinar- en grano.Santa Lucia,1
Antioquia. Café tostado- sin descafeinar- en grano.Singapur,0
Antioquia. Café tostado- sin descafeinar- en grano.Suecia,2
Antioquia. Café tostado- sin descafeinar- en grano.Ucrania,0
Antioquia. Café tostado- sin descafeinar- en grano.Uruguay,1
Antioquia. Café tostado- sin descafeinar- en grano.ZFP Bogotá,0
Antioquia. Café tostado- sin descafeinar- en grano.ZFP Candelaria,0
Antioquia. Café tostado- sin descafeinar- en grano.ZFP Cartagena,0
Antioquia. Café tostado- sin descafeinar- molido,20010
Antioquia. Café tostado- sin descafeinar- molido.Antigua y Barbuda,0
Antioquia. Café tostado- sin descafeinar- molido.Antillas Holandesas,10
Antioquia. Café tostado- sin descafeinar- molido.Aruba,93
Antioquia. Café tostado- sin descafeinar- molido.Australia,1
Antioquia. Café tostado- sin descafeinar- molido.Austria,0
Antioquia. Café tostado- sin descafeinar- molido.Bahrein,0
Antioquia. Café tostado- sin descafeinar- molido.Barbados,0
Antioquia. Café tostado- sin descafeinar- molido.Bolivia,6
Antioquia. Café tostado- sin descafeinar- molido.Brasil,95
Antioquia. Café tostado- sin descafeinar- molido.Canadá,68
Antioquia. Café tostado- sin descafeinar- molido.Chile,16
Antioquia. Café tostado- sin descafeinar- molido.Colombia,2
Antioquia. Café tostado- sin descafeinar- molido.Corea,6
Antioquia. Café tostado- sin descafeinar- molido.Costa Rica,227
Antioquia. Café tostado- sin descafeinar- molido.Cuba,0
Antioquia. Café tostado- sin descafeinar- molido.Curazao,19
Antioquia. Café tostado- sin descafeinar- molido.Dominica,0
Antioquia. Café tostado- sin descafeinar- molido.Ecuador,898
Antioquia. Café tostado- sin descafeinar- molido.El Salvador,5
Antioquia. Café tostado- sin descafeinar- molido.Emiratos Árabes Unidos,0
Antioquia. Café tostado- sin descafeinar- molido.España,116
Antioquia. Café tostado- sin descafeinar- molido.Estados Unidos,17507
Antioquia. Café tostado- sin descafeinar- molido.Francia,557
Antioquia. Café tostado- sin descafeinar- molido.Guatemala,3
Antioquia. Café tostado- sin descafeinar- molido.Hong Kong,0
Antioquia. Café tostado- sin descafeinar- molido.Irak,1
Antioquia. Café tostado- sin descafeinar- molido.Italia,2
Antioquia. Café tostado- sin descafeinar- molido.Japón,0
Antioquia. Café tostado- sin descafeinar- molido.Líbano,0
Antioquia. Café tostado- sin descafeinar- molido.Malasia,0
Antioquia. Café tostado- sin descafeinar- molido.Nigeria,1
Antioquia. Café tostado- sin descafeinar- molido.Noruega,1
Antioquia. Café tostado- sin descafeinar- molido.Países Bajos,5
Antioquia. Café tostado- sin descafeinar- molido.Panamá,335
Antioquia. Café tostado- sin descafeinar- molido.Perú,9
Antioquia. Café tostado- sin descafeinar- molido.Puerto Rico,1
Antioquia. Café tostado- sin descafeinar- molido.Reino Unido,3
Antioquia. Café tostado- sin descafeinar- molido.República Dominicana,0
Antioquia. Café tostado- sin descafeinar- molido.San Vicente y las Granadinas,0
Antioquia. Café tostado- sin descafeinar- molido.Santa Lucia,0
Antioquia. Café tostado- sin descafeinar- molido.Singapur,5
Antioquia. Café tostado- sin descafeinar- molido.Suecia,9
Antioquia. Café tostado- sin descafeinar- molido.Surinam,3
Antioquia. Café tostado- sin descafeinar- molido.Venezuela,0
Antioquia. Café tostado- sin descafeinar- molido.ZFP Barranquilla,0
Antioquia. Café tostado- sin descafeinar- molido.ZFP Bogotá,0
Antioquia. Café tostado- sin descafeinar- molido.ZFP Cartagena,4
Antioquia. Café tostado- sin descafeinar- molido.ZFP Cucuta,1
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción",9
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción.Canadá",0
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción.Curazao",0
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción.Estados Unidos",4
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción.Países Bajos",4
Antioquia. Extractos- esencias y concentrados de café,4116
Antioquia. Extractos- esencias y concentrados de café.Alemania,449
Antioquia. Extractos- esencias y concentrados de café.Antigua y Barbuda,1
Antioquia. Extractos- esencias y concentrados de café.Antillas Holandesas,18
Antioquia. Extractos- esencias y concentrados de café.Aruba,11
Antioquia. Extractos- esencias y concentrados de café.Australia,93
Antioquia. Extractos- esencias y concentrados de café.Barbados,3
Antioquia. Extractos- esencias y concentrados de café.Bélgica,63
Antioquia. Extractos- esencias y concentrados de café.Bolivia,5
Antioquia. Extractos- esencias y concentrados de café.Canadá,33
Antioquia. Extractos- esencias y concentrados de café.Chile,9
Antioquia. Extractos- esencias y concentrados de café.China,15
Antioquia. Extractos- esencias y concentrados de café.Corea,19
